,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,target
0,-0.0678190483658027,-0.998318207047337,-1.5911032633172248,0.7195772663883581,-1.108502331930495,-1.4805837084643654,,-2.6882669362045095,,-0.4425977005481213,-0.9878093091059548,,-0.1485164160640672,,1.4154198110707408,0.3035517451826582,,,2.2541367940774917,0.2735038878805989,class A
1,-0.6482131579823339,-1.1956528617195976,,-0.1430935162733652,1.871160356473741,,0.0588773890406634,-0.121139768505728,0.4099613355277183,-2.3368060426992177,,-0.2639736456840748,,-0.6226326878574969,,,0.773054386083712,,1.9268055609278536,,class C
2,0.1445498631658903,0.0826800551505467,,,0.5593545062102186,-1.101309164424149,-0.4662683879803861,,0.6108604807159718,-0.6300376432845403,-0.5668733496494002,-0.9155265486324496,-0.0819373597440645,0.0924105205672752,-0.5883648865466367,-0.2192025670973578,,0.7535500624991599,0.4614168580193145,-0.304517027940465,class A
3,-1.275309907087536,,-0.1606070697537873,0.145769489315207,-0.3678662088129275,-0.0368915749697642,-0.5404783716940473,3.5054212274076706,,,-1.22990200316547,-0.0690670900604998,0.5883157315522474,-0.1846149431654017,-0.5108143280510796,-0.0844510165597675,,-0.5076639708097741,-1.385295424601937,-0.0541890927787162,class D
4,-0.3302159078540943,-2.169949643622967,0.5610788855022183,0.7650620023216054,,-0.1165432424756764,0.6861502067924687,-0.3686687283635581,0.5177435156333077,,,0.2052348895312071,,,-0.7471479773241178,,-0.637552041552523,,3.373434658025453,2.8500441593938626,class A
5,-0.6172622400270668,0.9417702784562156,,1.168248151153085,1.0081166959592696,,0.3146717106366064,,,-1.7199434971565402,,0.6300749162608013,-0.1906841330279194,1.0849292604088565,,0.9017590123303156,0.4080694938670632,-2.3774124812564708,-0.4997861443823626,,class B
6,-0.9415496172720778,-1.256855355213857,,1.4104721947646215,-0.3776744350726412,-1.268998009653698,-0.6431185528576432,,-0.9073568078181172,-3.1844083813393644,-2.208152431964103,-1.6116942192919317,0.4673543487202833,,-1.499216811032655,0.9457778567467596,0.7219154771134499,-0.7809575356164347,,-1.6458091956754437,class C
7,-1.3700287663498507,0.2779750808042565,-1.059071075177424,,-1.2354219376158122,-0.6511068005740686,-0.3209469856922091,,-1.160261689774701,-0.4485252474201284,2.3074218586992163,-1.3311463520352744,-0.818826550894485,0.3263477590470683,0.5396857286916716,-1.5488950955466438,1.1848724066726983,,-0.0601608293223427,1.7249299576645956,class B
8,-1.589328800115272,-0.6038502684248505,0.0340222597291317,0.1750751537111799,-0.177425920003229,,,1.5798046373532986,-2.351616069077426,1.0922437155508071,-0.9065898186351457,1.974256216074299,-1.4836680685844394,-0.6477026933147506,-0.2993739616273836,-0.1694805251380414,1.1267817424065076,1.067372069114784,-0.00945536855754,0.4036919224277118,class A
9,,,-1.0563647009817034,,0.3888915843350067,2.5520124717301864,,0.0329536637289217,-1.3236200926021104,3.762561468996706,-0.1967625268653834,,-1.264699495992883,-0.2866626436684213,-0.1674743182011643,-0.6362505975938585,,-1.0952075200515576,-0.2947653913952692,,class A
10,-1.436272508635137,-1.4427744442796495,0.2333796000792942,-0.3474882163045241,1.8425902206069893,0.1211122839763289,0.8545299618304332,,,-0.265238435866592,-1.2448403792337728,-1.5869904685715988,-0.3546183481526125,-0.658624303048565,-0.6808370009522787,,,-1.219830815720448,,-0.7765755250500946,class B
11,1.1945558554240203,,-0.2682658427387283,,-0.8021316255956049,1.8783118226026851,-0.2957335157018447,,-0.0540649829615403,3.0243620973207475,,-0.7303553698860322,2.304716743868856,-1.1465759910808069,-1.0349326261621326,-0.233769702003569,0.1857686725509887,,-0.887382185021105,1.0588900699156647,class B
12,,-0.7757903025098044,0.8820716225539946,0.6964092406509016,0.0972472486047457,-0.5957550655859067,0.5046691635744318,0.4275001665067115,2.16425834342647,-1.8417138842462268,0.6693655799833049,0.7414878113907377,0.5913819989626168,,,,1.0895091452180752,,0.889704871518191,-0.7870432807278347,class D
13,0.291937902705277,,-0.6315181239099372,0.004196797587043,-1.3352160207753434,,0.6549337968069366,,0.1636656886169954,,0.0971689877036958,1.074699560975341,,,,,1.3083286184040386,-2.3957789726675607,-0.0847648486331423,,class D
14,0.2730761856910811,,,1.675920947852812,0.5784269785992333,-1.8620651559322767,0.4733334333631231,,-1.4492756330411094,,-2.65248104307645,-0.5169045021464257,,2.619130085909021,,-0.3000242053598321,-0.4189929182338132,-0.847029671842371,0.1303144859381988,-4.291524069693533,class C
15,,-0.8631606204832142,,1.5557280533434816,0.1665141101754585,-0.2990463013503314,0.2609081565543303,2.0418074096653407,3.0025380433589905,-1.8985998001539832,-0.268054414820563,-1.2540520471701966,,-1.2575495885916792,1.1959441729749123,,-1.3534521231120624,1.147370737224092,0.9488639687231722,-0.3310846642958077,class C
16,0.142564197094287,-1.386381844137743,,,0.096676666850585,0.7588038490057613,-0.8795846773496115,,1.3300766246580122,-0.7049328796379457,-0.0761312309956525,0.6302372450043706,1.2398240528928368,0.5073549560165616,1.6693630017327703,1.5726622676479307,,,,0.7542858182616745,class A
17,,-2.33906017846846,0.4516922539946023,0.4059225308812887,1.2836067974980452,1.7632125226796602,1.5999797823377215,-0.346097227241589,-1.5034041438859274,1.213120798089543,0.5622166954180572,-1.211008664588599,,0.4508556101482864,2.2165218802225217,-1.2289786094744275,1.1339833518978604,-1.5675822649546882,2.3665356020506416,1.6470016586686025,class B
18,1.3569124364599627,3.987422280722085,-1.0744674646122994,-0.4447302727192629,,-0.5840072377922116,,-3.0946229842229367,0.1789743118505358,2.2055860145365895,1.3285319821339767,-0.1016265739892933,-0.5284316160148145,-1.9075489249367816,-0.9004397002387049,,-1.3530745940858462,-0.0484403069093549,-4.770090018775272,-1.5236366016532323,class B
19,0.1980039293248355,1.4099038854251134,0.2825352000865712,,-0.1339859061775885,,,0.204896779568368,,-0.8035657814066681,-0.2524178521314885,-0.4007154984685103,2.5179705197269846,-0.3701657616208416,-0.8321915816370099,0.0056726136027145,-0.1839818692679237,,-0.8066247302951643,0.2598831297450601,class A
